propId,label,description,label.desc,count,type,cluster id
P521,scheduled service destination,"airport or station connected by regular direct service to the subject, for the destination of a trip see P1444","scheduled service destination airport or station connected by regular direct service to the subject, for the destination of a trip see P1444",86,wikibase-item,cluster_0
P522,type of orbit,orbit a satellite has around its central body,type of orbit orbit a satellite has around its central body,302,wikibase-item,cluster_0
P523,temporal range start,the start of a process or appearance of a life form relative to the geologic time scale,temporal range start the start of a process or appearance of a life form relative to the geologic time scale,56,wikibase-item,cluster_0
P524,temporal range end,the end of a process or extinction of a life form relative to the geologic time scale,temporal range end the end of a process or extinction of a life form relative to the geologic time scale,56,wikibase-item,cluster_0
P53,noble family,include dynasty and nobility houses,noble family include dynasty and nobility houses,7021,wikibase-item,cluster_0
P530,diplomatic relation,diplomatic relations of the country,diplomatic relation diplomatic relations of the country,583,wikibase-item,cluster_0
P531,diplomatic mission sent,"location of diplomatic mission, i.e. consulate of A in the capital city of B","diplomatic mission sent location of diplomatic mission, i.e. consulate of A in the capital city of B",186,wikibase-item,cluster_0
P532,port of registry,"ship's port of registry. This is generally painted on the ship's stern (for the home port""see Property:P504)""","port of registry ship's port of registry. This is generally painted on the ship's stern (for the home port""see Property:P504)""",58,wikibase-item,cluster_0
P533,target,target of a terrorist attack or military operation,target target of a terrorist attack or military operation,23,wikibase-item,cluster_0
P534,streak color,color of a mineral or material when abraded ,streak color color of a mineral or material when abraded ,49,wikibase-item,cluster_0
P537,twinning,type of twins a crystal forms,twinning type of twins a crystal forms,12,wikibase-item,cluster_0
P54,member of sports team,sports teams or clubs that the subject currently represents or formerly represented,member of sports team sports teams or clubs that the subject currently represents or formerly represented,349683,wikibase-item,cluster_0
P541,office contested,title of office which election will determine the next holder of,office contested title of office which election will determine the next holder of,20,wikibase-item,cluster_0
P542,officially opened by,person that officially opened the event,officially opened by person that officially opened the event,144,wikibase-item,cluster_0
P543,oath made by,"person(s) that made the oath at an event, like the Olympic Games","oath made by person(s) that made the oath at an event, like the Olympic Games",68,wikibase-item,cluster_0
P545,torch lit by,"person that lit the torch at an event, like the Olympic Games","torch lit by person that lit the torch at an event, like the Olympic Games",49,wikibase-item,cluster_0
P547,commemorates,"what the place, monument, memorial, holiday, commemorates","commemorates what the place, monument, memorial, holiday, commemorates",108,wikibase-item,cluster_0
P551,residence,"the place where the person is, or has been, resident","residence the place where the person is, or has been, resident",4102,wikibase-item,cluster_0
P552,handedness,handedness of the person,handedness handedness of the person,680,wikibase-item,cluster_0
P553,website account on,a website that the person or organization has an account on (use with P554) Note: only used with reliable source or if the person or organization disclosed it.,website account on a website that the person or organization has an account on (use with P554) Note: only used with reliable source or if the person or organization disclosed it.,12200,wikibase-item,cluster_0
P556,crystal system,type of crystal for crystal coumpounds,crystal system type of crystal for crystal coumpounds,1128,wikibase-item,cluster_0
P559,terminus,"the feature (intersecting road, train station, etc.) at the terminus of a linear feature","terminus the feature (intersecting road, train station, etc.) at the terminus of a linear feature",2778,wikibase-item,cluster_0
P562,central bank/issuer,central bank or other issuing authority for the currency,central bank/issuer central bank or other issuing authority for the currency,250,wikibase-item,cluster_0
P566,basionym,"the legitimate, previously published name on which a new combination or name at new rank is based","basionym the legitimate, previously published name on which a new combination or name at new rank is based",1838,wikibase-item,cluster_0
P57,director,"director(s) of this motion picture, play, video game or similar","director director(s) of this motion picture, play, video game or similar",95257,wikibase-item,cluster_0
P579,IMA status and/or rank,status given to each mineral by the IMA (International Mineralogical Association),IMA status and/or rank status given to each mineral by the IMA (International Mineralogical Association),4555,wikibase-item,cluster_0
P58,screenwriter,author(s) of the screenplay or script for this work,screenwriter author(s) of the screenplay or script for this work,50160,wikibase-item,cluster_0
P588,coolant,substance used by the subject to dissipate excess thermal energy,coolant substance used by the subject to dissipate excess thermal energy,264,wikibase-item,cluster_0
P589,point group,crystal subdivision,point group crystal subdivision,247,wikibase-item,cluster_0
P59,constellation,"the area of the celestial sphere of which the subject is a part (from a scientific standpoint, not an astrological one)","constellation the area of the celestial sphere of which the subject is a part (from a scientific standpoint, not an astrological one)",19949,wikibase-item,cluster_0
P598,commander of,"for persons who are notable as commanding officers, the units they commanded","commander of for persons who are notable as commanding officers, the units they commanded",162,wikibase-item,cluster_0
P6,head of government,"head of the executive power of a town, city, municipality, state, country, or other governmental body","head of government head of the executive power of a town, city, municipality, state, country, or other governmental body",11720,wikibase-item,cluster_0
P607,conflict,"battles, wars or engagements in which the person or item participated","conflict battles, wars or engagements in which the person or item participated",50762,wikibase-item,cluster_0
P608,exhibition history,exhibitions where the item was displayed,exhibition history exhibitions where the item was displayed,1105,wikibase-item,cluster_0
P609,terminus location,location of the terminus of a linear feature,terminus location location of the terminus of a linear feature,792,wikibase-item,cluster_0
P61,discoverer or inventor,discovered or invented by,discoverer or inventor discovered or invented by,59847,wikibase-item,cluster_0
P610,highest point,"point with highest elevation in the country, region, city, town or area","highest point point with highest elevation in the country, region, city, town or area",330,wikibase-item,cluster_0
P611,religious order,order of monks or nuns which the monastery housed,religious order order of monks or nuns which the monastery housed,2213,wikibase-item,cluster_0
P612,mother house,name of the mother house,mother house name of the mother house,231,wikibase-item,cluster_0
P618,source of energy,describes the source of energy an animated object (machine or animal) uses,source of energy describes the source of energy an animated object (machine or animal) uses,170,wikibase-item,cluster_0
P624,guidance system,guidance system of a missile,guidance system guidance system of a missile,178,wikibase-item,cluster_0
P629,edition or translation of,is an edition or translation of this text,edition or translation of is an edition or translation of this text,988,wikibase-item,cluster_0
P631,structural engineer,"person, group or organisation responsible for the structural engineering of a building or structure","structural engineer person, group or organisation responsible for the structural engineering of a building or structure",258,wikibase-item,cluster_0
P634,captain,captain of this sports team,captain captain of this sports team,18,wikibase-item,cluster_0
P636,route of administration,"path by which a drug, fluid, poison, or other substance is taken into the body","route of administration path by which a drug, fluid, poison, or other substance is taken into the body",221,wikibase-item,cluster_0
P641,sport,sport or discipline in which the entity participates or belongs to,sport sport or discipline in which the entity participates or belongs to,177938,wikibase-item,cluster_0
P642,of,qualifiers stating that a statement applies within the scope of a particular item,of qualifiers stating that a statement applies within the scope of a particular item,34,wikibase-item,cluster_0
P647,drafted by,which team the player was drafted by,drafted by which team the player was drafted by,62,wikibase-item,cluster_0
P65,site of astronomical discovery,"the place where an astronomical object was discovered (observatory, satellite)","site of astronomical discovery the place where an astronomical object was discovered (observatory, satellite)",45812,wikibase-item,cluster_0
P655,translator,people or organisation who translated this,translator people or organisation who translated this,420,wikibase-item,cluster_0
P658,tracklist,songs contained in this item,tracklist songs contained in this item,927,wikibase-item,cluster_0
P66,ancestral home,place of origin for ancestors of subject,ancestral home place of origin for ancestors of subject,131,wikibase-item,cluster_0
P664,organizer,person or institution organizing an event,organizer person or institution organizing an event,650,wikibase-item,cluster_0
P669,located on street,"street, or road, where the item is located. To add the number, use Property:P670 street number"" as qualifier""","located on street street, or road, where the item is located. To add the number, use Property:P670 street number"" as qualifier""",44205,wikibase-item,cluster_0
P674,characters,"characters which appear in this item (plays, operas, operettas, books...)","characters characters which appear in this item (plays, operas, operettas, books...)",3643,wikibase-item,cluster_0
P676,lyrics by,author of song lyrics; also use P86 for music composer,lyrics by author of song lyrics; also use P86 for music composer,5271,wikibase-item,cluster_0
P680,molecular function,represents gene ontology function annotations,molecular function represents gene ontology function annotations,11200,wikibase-item,cluster_0
P681,cell component,component of the cell in which this item is present,cell component component of the cell in which this item is present,10602,wikibase-item,cluster_0
P682,biological process,is involved in the biological process,biological process is involved in the biological process,32246,wikibase-item,cluster_0
P684,ortholog,orthologous gene in another species (use with 'species' qualifier),ortholog orthologous gene in another species (use with 'species' qualifier),1860,wikibase-item,cluster_0
P688,encodes,the product of a gene (protein or RNA),encodes the product of a gene (protein or RNA),1915,wikibase-item,cluster_0
P689,afflicts,a type of organism which a condition or disease afflicts,afflicts a type of organism which a condition or disease afflicts,24,wikibase-item,cluster_0
P69,educated at,educational institution attended by the subject,educated at educational institution attended by the subject,281109,wikibase-item,cluster_0
P690,space group,symmetry classification for 2 and 3 dimensional patterns or crystals,space group symmetry classification for 2 and 3 dimensional patterns or crystals,919,wikibase-item,cluster_0
P693,cleavage,way that crystals or minerals cleave,cleavage way that crystals or minerals cleave,60,wikibase-item,cluster_0
P694,replaced synonym (for nom. nov.),"previously published name on which a replacement name (avowed substitute, nomen novum) is based.","replaced synonym (for nom. nov.) previously published name on which a replacement name (avowed substitute, nomen novum) is based.",33,wikibase-item,cluster_0
P7,brother,subject has the object as their brother,brother subject has the object as their brother,64381,wikibase-item,cluster_0
P702,encoded by, the gene that encodes some gene product,encoded by  the gene that encodes some gene product,1955,wikibase-item,cluster_0
P703,found in taxon,the taxon in which the molecule or substance can be found,found in taxon the taxon in which the molecule or substance can be found,109231,wikibase-item,cluster_0
P706,located on terrain feature,"located on the specified landform or body of water. Should not be used when the value is only political/administrative (provinces, states, countries, etc.).","located on terrain feature located on the specified landform or body of water. Should not be used when the value is only political/administrative (provinces, states, countries, etc.).",8417,wikibase-item,cluster_0
P708,diocese,administrative division of the church to which the element belongs,diocese administrative division of the church to which the element belongs,4465,wikibase-item,cluster_0
P710,participant,"person, group of people or organization that actively takes/took part in the event","participant person, group of people or organization that actively takes/took part in the event",10715,wikibase-item,cluster_0
P720,asteroid spectral type,"spectral classifications of asteroids based on  spectral shape, color, and albedo","asteroid spectral type spectral classifications of asteroids based on  spectral shape, color, and albedo",370,wikibase-item,cluster_0
P725,voice actor,"the person who dubbed a role of a creative work (like TV series, movie or video game)","voice actor the person who dubbed a role of a creative work (like TV series, movie or video game)",1217,wikibase-item,cluster_0
P726,candidate,person or party listed as an option for office in an election,candidate person or party listed as an option for office in an election,467,wikibase-item,cluster_0
P734,surname,surname or last name of a person,surname surname or last name of a person,110021,wikibase-item,cluster_0
P735,given name,first name or another given name of this person. Values used with the property shouldn't link disambiguations nor family names.,given name first name or another given name of this person. Values used with the property shouldn't link disambiguations nor family names.,1896107,wikibase-item,cluster_0
P736,cover artist,"name of person or team creating cover artwork for album, single, book, etc.","cover artist name of person or team creating cover artwork for album, single, book, etc.",194,wikibase-item,cluster_0
P737,influenced by,"this person, idea, etc. is informed by that other person, idea, etc., e.g. Heidegger has influence Aristotle"".  Inverse of 'influence of' (P738).""","influenced by this person, idea, etc. is informed by that other person, idea, etc., e.g. Heidegger has influence Aristotle"".  Inverse of 'influence of' (P738).""",362,wikibase-item,cluster_0
P738,influence of,"this person, idea, etc. informs that other person, idea, etc., e.g. Aristotle influence of Heidegger"".  Inverse of 'influenced by' (P737).""","influence of this person, idea, etc. informs that other person, idea, etc., e.g. Aristotle influence of Heidegger"".  Inverse of 'influenced by' (P737).""",218,wikibase-item,cluster_0
P739,ammunition,cartridge or other ammunition used by the subject weapon,ammunition cartridge or other ammunition used by the subject weapon,1758,wikibase-item,cluster_0
P740,location of formation,location where a group or organization was formed,location of formation location where a group or organization was formed,741,wikibase-item,cluster_0
P741,playing hand,hand used to play tennis,playing hand hand used to play tennis,2264,wikibase-item,cluster_0
P744,asteroid family,population of asteroids that share similar proper orbital elements,asteroid family population of asteroids that share similar proper orbital elements,86,wikibase-item,cluster_0
P747,edition(s),linking to an edition of this item,edition(s) linking to an edition of this item,1275,wikibase-item,cluster_0
P748,appointed by,"who appointed the person to the office, can be used as a qualifier","appointed by who appointed the person to the office, can be used as a qualifier",315,wikibase-item,cluster_0
P749,parent company,"a parent company of an organisation, opposite of subsidiaries (P355)","parent company a parent company of an organisation, opposite of subsidiaries (P355)",1164,wikibase-item,cluster_0
P750,distributor,distributor of a creative work,distributor distributor of a creative work,1394,wikibase-item,cluster_0
P751,introduced feature,which feature was introduced by this version of a product item,introduced feature which feature was introduced by this version of a product item,25,wikibase-item,cluster_0
P765,surface played on,the surface on which the tournament is played,surface played on the surface on which the tournament is played,998,wikibase-item,cluster_0
P767,contributor,person or organization that contributed in the creation of a creative work,contributor person or organization that contributed in the creation of a creative work,1046,wikibase-item,cluster_0
P768,electoral district,"For members of legislative bodies (local or national), the electoral district the person is representing","electoral district For members of legislative bodies (local or national), the electoral district the person is representing",19,wikibase-item,cluster_0
P769,significant drug interaction,"a clinically significant interaction between two pharmacologically active substances (i.e., drugs and/or active metabolites) where concomitant intake can lead to altered effectiveness or adverse drug events.","significant drug interaction a clinically significant interaction between two pharmacologically active substances (i.e., drugs and/or active metabolites) where concomitant intake can lead to altered effectiveness or adverse drug events.",1837,wikibase-item,cluster_0
P770,cause of destruction,item which caused the destruction of the subject item,cause of destruction item which caused the destruction of the subject item,75,wikibase-item,cluster_0
P78,top-level domain,Internet domain name system top-level code,top-level domain Internet domain name system top-level code,304,wikibase-item,cluster_0
P780,symptoms,the possible symptoms of a medical condition,symptoms the possible symptoms of a medical condition,94,wikibase-item,cluster_0
P793,significant event,significant or notable events associated with the subject,significant event significant or notable events associated with the subject,6740,wikibase-item,cluster_0
P800,notable works,subject's notable scientific work or work of art,notable works subject's notable scientific work or work of art,20118,wikibase-item,cluster_0
P802,student,notable student(s) of a person,student notable student(s) of a person,598,wikibase-item,cluster_0
P803,professorship,professorship position held by this academic person,professorship professorship position held by this academic person,76,wikibase-item,cluster_0
P805,subject of,(qualifier only) item detailing the relation established by the statement,subject of (qualifier only) item detailing the relation established by the statement,334,wikibase-item,cluster_0
P807,separated from,subject was founded or started by separating from identified object,separated from subject was founded or started by separating from identified object,34,wikibase-item,cluster_0
P81,connecting line,railway or public transport line(s) subject is directly connected to,connecting line railway or public transport line(s) subject is directly connected to,10846,wikibase-item,cluster_0
P812,academic major,major someone studied at college/university,academic major major someone studied at college/university,34,wikibase-item,cluster_0
P814,IUCN protected areas category,protected areas category by the World Commission on Protected Areas. Used with dedicated items for each category.,IUCN protected areas category protected areas category by the World Commission on Protected Areas. Used with dedicated items for each category.,6708,wikibase-item,cluster_0
P816,decays to,what isotope does this radioactive isotope decay to,decays to what isotope does this radioactive isotope decay to,4875,wikibase-item,cluster_0
P822,mascot,"mascot of an organization, e.g. a sports team or university","mascot mascot of an organization, e.g. a sports team or university",45,wikibase-item,cluster_0
P823,speaker,someone who takes a role as speaker in events like keynotes or presentations,speaker someone who takes a role as speaker in events like keynotes or presentations,36,wikibase-item,cluster_0
P825,dedicated to,person or organization to whom the subject was dedicated,dedicated to person or organization to whom the subject was dedicated,255,wikibase-item,cluster_0
P826,tonality,key of a musical composition,tonality key of a musical composition,370,wikibase-item,cluster_0
P831,parent club,parent club of this team,parent club parent club of this team,79,wikibase-item,cluster_0
P832,public holiday,"official public holiday that occurs in this place, usually a non-working day","public holiday official public holiday that occurs in this place, usually a non-working day",347,wikibase-item,cluster_0
P833,interchange station,"station to which passengers can transfer to from this station, normally without extra expense","interchange station station to which passengers can transfer to from this station, normally without extra expense",79,wikibase-item,cluster_0
P837,day in year for periodic occurrence,when a specific holiday or periodic event occurs. Can be used as property or qualifier,day in year for periodic occurrence when a specific holiday or periodic event occurs. Can be used as property or qualifier,531,wikibase-item,cluster_0
P84,architect,person or architectural firm that designed this building,architect person or architectural firm that designed this building,5470,wikibase-item,cluster_0
P840,narrative set in,the narrative of this work is set in this location,narrative set in the narrative of this work is set in this location,19372,wikibase-item,cluster_0
P841,feast day,saint's principal feast day,feast day saint's principal feast day,682,wikibase-item,cluster_0
P85,anthem,name of the subject's anthem,anthem name of the subject's anthem,540,wikibase-item,cluster_0
P859,sponsor,enterprise that sponsors this item,sponsor enterprise that sponsors this item,103,wikibase-item,cluster_0
P86,composer,person(s) who wrote the music; also use P676 for lyricist,composer person(s) who wrote the music; also use P676 for lyricist,9407,wikibase-item,cluster_0
P868,foods traditionally associated,foods consumed during the ceremony or associated with a certain settlement,foods traditionally associated foods consumed during the ceremony or associated with a certain settlement,12,wikibase-item,cluster_0
P87,librettist,author of the libretto (words) of an opera,librettist author of the libretto (words) of an opera,434,wikibase-item,cluster_0
P870,instrumentation,combination of musical instruments employed in a composition,instrumentation combination of musical instruments employed in a composition,111,wikibase-item,cluster_0
P872,printed by,"organization that printed the creative work (if different from publisher"")""","printed by organization that printed the creative work (if different from publisher"")""",14,wikibase-item,cluster_0
P878,avionics,"notable sensors, electronics, and other avionics installed in the subject aircraft","avionics notable sensors, electronics, and other avionics installed in the subject aircraft",162,wikibase-item,cluster_0
P88,commissioned by,person or organization that commissioned this work,commissioned by person or organization that commissioned this work,565,wikibase-item,cluster_0
P880,CPU,central processing unit found within the subject item,CPU central processing unit found within the subject item,563,wikibase-item,cluster_0
P881,type of variable star,type of variable star,type of variable star type of variable star,32,wikibase-item,cluster_0
P885,origin of the watercourse,main source of a river or stream,origin of the watercourse main source of a river or stream,183,wikibase-item,cluster_0
P9,sister,subject has the object as their sister (female sibling),sister subject has the object as their sister (female sibling),30332,wikibase-item,cluster_0
P91,sexual orientation,"the sexual orientation of the person - use IF AND ONLY IF they have stated it themselves, unambiguously, or it has been widely agreed upon by historians after their death","sexual orientation the sexual orientation of the person - use IF AND ONLY IF they have stated it themselves, unambiguously, or it has been widely agreed upon by historians after their death",3186,wikibase-item,cluster_0
P912,facility,"the subject item has this type of facility, e.g. toilet, car park","facility the subject item has this type of facility, e.g. toilet, car park",109,wikibase-item,cluster_0
P913,notation,mathematical notation or another symbol,notation mathematical notation or another symbol,58,wikibase-item,cluster_0
P915,filming location,actual place where this scene/film was shot,filming location actual place where this scene/film was shot,14572,wikibase-item,cluster_0
P92,main regulatory text,text setting the main rules by which the subject is regulated,main regulatory text text setting the main rules by which the subject is regulated,253,wikibase-item,cluster_0
P923,medical examinations,examinations that might be used to diagnose the medical condition,medical examinations examinations that might be used to diagnose the medical condition,51,wikibase-item,cluster_0
P924,medical treatment,treatment that might be used to heal the medical condition,medical treatment treatment that might be used to heal the medical condition,17,wikibase-item,cluster_0
P931,place served by airport,city or region served by this airport,place served by airport city or region served by this airport,97,wikibase-item,cluster_0
P937,location of creative working,location(s) where the creator was active,location of creative working location(s) where the creator was active,40632,wikibase-item,cluster_0
P941,inspired by,the work which inspired this creative work,inspired by the work which inspired this creative work,425,wikibase-item,cluster_0
P942,theme music,"the theme music/song used under licence by the item (film, event, sport club/team, person, etc.)","theme music the theme music/song used under licence by the item (film, event, sport club/team, person, etc.)",22,wikibase-item,cluster_0
P943,programmer,coder for a piece of software or a digital creative work such as a video game,programmer coder for a piece of software or a digital creative work such as a video game,96,wikibase-item,cluster_0
P944,Code of nomenclature,the Code that governs the scientific name of this taxon,Code of nomenclature the Code that governs the scientific name of this taxon,814,wikibase-item,cluster_0
P945,allegiance,"the country (or other power) that the person, or organization, served","allegiance the country (or other power) that the person, or organization, served",239,wikibase-item,cluster_0
P97,noble title,royal or noble titles held by the person,noble title royal or noble titles held by the person,4556,wikibase-item,cluster_0
P972,catalog,"catalogue for the item, or, as a qualifier of P528, catalogue for which the number is valid","catalog catalogue for the item, or, as a qualifier of P528, catalogue for which the number is valid",860,wikibase-item,cluster_0
P974,tributary,stream or river that flows into this main stem (or parent) river or a lake,tributary stream or river that flows into this main stem (or parent) river or a lake,405,wikibase-item,cluster_0
P98,editor,editor of a compiled work such as a book or academic journal,editor editor of a compiled work such as a book or academic journal,1314,wikibase-item,cluster_0
P991,successful candidate,person(s) elected after the election,successful candidate person(s) elected after the election,4109,wikibase-item,cluster_0
