source property 	 item with same label 	  label 	 description
P276	Q6664775	location	term in sign language

P277	Q9143	programming language	language designed to communicate instructions to a machine

P281	Q37447	postal code	series of letters and digits for sorting mail

P282	Q8192	writing system	system of visual symbols recorded on paper or another medium, used to represent elements expressible in language

P287	Q5322166	designer	person who designs

P289	Q559026	ship class	group of ships of a similar design

P291	Q1361759	place of publication	null

P296	Q14565734	Station code	abbreviation used to designate a railway station

P299	Q2725758	ISO 3166-1 numeric	null

P30	Q3688921	Continent	null
P30	Q3688922	Continent	null
P30	Q5107	continent	very large landmass
P30	Q5165221	Continent	Wikipedia disambiguation page
P30	Q5165222	Continent	null
P30	Q5165223	Continent	null

P300	Q133153	ISO 3166-2	null

P304	Q1069725	page	One side of a leaf of paper
P304	Q1227783	Page	Suburb in Canberra, Australia
P304	Q13563379	Page	A surname
P304	Q15471528	Page	given name
P304	Q19021127	Page	null
P304	Q19021134	Page	null
P304	Q19021141	Page	null
P304	Q19021155	Page	null
P304	Q19021164	Page	null
P304	Q19021170	Page	null
P304	Q19021179	Page	null
P304	Q19112204	Page	null
P304	Q19112209	Page	null
P304	Q19423906	Page	poet, b. in Bradford, Vt., 5 May, 1834; d. in Chelsea, Mass., 14 Feb., 1862. She was educated in the academies at Bradford and St. Johnsbury, Vt
P304	Q224749	Page	Wikimedia disambiguation page
P304	Q3288900	Page	Nebraska, USA
P304	Q3475230	Page	West Virginia, United States
P304	Q361698	page	fixed-length contiguous block of virtual memory
P304	Q7124205	Page	Former settlement in Kern County, California, USA
P304	Q7124206	Page	Minneapolis, USA
P304	Q7124207	Page	Oklahoma, United States
P304	Q7124215	Page	English professional cricketer
P304	Q7124217	Page	professional cricketer
P304	Q7124218	Page	Korean music group
P304	Q7124219	Page	novel by Tamora Pierce
P304	Q7124222	Page	Swedish band
P304	Q79940	Page	City in Arizona, USA
P304	Q855855	page	occupation

P305	Q1059900	IETF language tag	abbreviated language code defined by the Internet Engineering Task Force (IETF)

P306	Q9135	operating system	collection of software that manages computer hardware resources

P348	Q11328494	version	null
P348	Q2414843	Version	null
P348	Q356441	Version	Wikimedia disambiguation page
P348	Q7922681	Version	null

P35	Q1592282	Head of State	null
P35	Q19030786	Head of state	null
P35	Q48352	head of state	official who holds the highest ranked position in a sovereign state
P35	Q5689377	Head of state	Wikipedia disambiguation page

P350	Q17299580	RKDimages	images database of the Rijksbureau voor Kunsthistorische Documentatie

P356	Q233167	DOI	Wikipedia disambiguation page
P356	Q5288583	Doi	null
P356	Q5288585	Doi	Wikipedia disambiguation page

P358	Q1199610	Discography	Wikimedia disambiguation page
P358	Q273057	discography	study and cataloging of published sound recordings
P358	Q5281610	Discography	album by Jesuit
P358	Q5281612	Discography	2003 Jill Johnson compilation album

P36	Q1034631	Capital	German magazine
P36	Q1034634	Capital	Bulgarian weekly newspaper
P36	Q13408569	Capital	Ukrainian newspaper
P36	Q193893	capital	part of a column (architecture)
P36	Q19580300	Capital	null
P36	Q25738	Capital	magazine
P36	Q2937369	Capital	French magazine
P36	Q3916071	capital	Wikipedia disambiguation page
P36	Q5035434	Capital	album by Mick Softley
P36	Q5035435	Capital	British band
P36	Q5035436	Capital	fortification
P36	Q5035439	Capital	Romanian newspaper
P36	Q5035441	Capital	UK radio network
P36	Q5119	capital	primary city of a political entity (country, state, county, etc)

P366	Q1294087	Use	Wikimedia disambiguation page
P366	Q1699184	USE	Wikipedia disambiguation page
P366	Q1724915	use	null
P366	Q7901733	Use	null

P37	Q23492	official language	language given special status in some polity

P371	Q13590141	presenter	null

P377	Q408093	SCN	Wikipedia disambiguation page

P38	Q17002581	Currency	null
P38	Q266516	currency	typographic character used to denote an unspecified currency
P38	Q5194983	Currency	Wikipedia disambiguation page
P38	Q5194988	Currency	null
P38	Q8142	currency	generally accepted medium of exchange for goods or services.
P38	Q9197165	Currency	null

P40	Q16768918	CHILD	null
P40	Q19034816	Child	null
P40	Q19034823	Child	null
P40	Q19034833	Child	null
P40	Q19034841	Child	null
P40	Q19034849	Child	null
P40	Q19034860	Child	null
P40	Q19034869	Child	null
P40	Q3054132	Child	null
P40	Q362629	Child	Wikipedia disambiguation page
P40	Q4565487	Child	null
P40	Q5097690	Child	null
P40	Q5097691	Child	debut single from former Take That band member, Mark Owen
P40	Q5253511	Child	null
P40	Q7569	child	human between the stages of birth and puberty

P400	Q1425106	Platform	null
P400	Q17131062	Platform	null
P400	Q197412	Platform	2000 Chinese film directed by Jia Zhangke
P400	Q224617	Platform	Wikimedia disambiguation page
P400	Q2472420	platform	structure to highlight a speaker or a show
P400	Q666258	Platform	null
P400	Q7202266	Platform	null
P400	Q7202267	Platform	null
P400	Q7202268	Platform	null

P404	Q1971694	game mode	null
P404	Q3317794	Game mode	null

P406	Q4176708	soundtrack album	album containing music from another work, such as a film or opera

P408	Q2622299	software engine	core of a computer program

P410	Q56019	military rank	element of hierarchy in armed forces

P411	Q15978876	canonization status	null

P412	Q1063547	voice type	null

P414	Q11691	stock exchange	organization that provides services for stock brokers and traders to trade securities
P414	Q7617859	Stock Exchange	null

P415	Q589183	radio format	not to be confused with radio genre (Q15961983)

P416	Q1401551	quantity symbol	character representing a physical quantity

P417	Q28914	patron saint	saint regarded as the tutelary spirit or heavenly advocate of a nation, place, craft, activity, class, clan, family, or person

P426	Q838849	aircraft registration	null

P43	Q1282201	stepfather	mother's husband
P43	Q7608093	Stepfather	null

P433	Q1247982	Issue	Wikipedia disambiguation page
P433	Q6088376	Issue	South Korean magazine
P433	Q86447	issue	genealogical and legal term referring to one's lineal descendants

P437	Q17097858	Distribution	null
P437	Q17118373	distribution	the total of contexts in which a linguistic unit occurs
P437	Q1781748	Distribution	pharmacological term
P437	Q225802	Distribution	Wikipedia disambiguation page
P437	Q564835	Distribution	term from differential geometry
P437	Q865811	distribution	mathematical analysis term
P437	Q867147	distribution	making products available to customers
P437	Q989018	Distribution	economical term

P44	Q15384699	stepmother	father's wife

P452	Q1182866	Industry	borough in Beaver County, Pennsylvania, USA
P452	Q16994910	Industry	null
P452	Q19113239	Industry	null
P452	Q222619	Industry	Irish band
P452	Q257927	Industry	Wikipedia disambiguation page
P452	Q2726562	Industry	town in Franklin County, Maine, United States
P452	Q3150631	Industry	band
P452	Q6028114	Industry	album by British drum and bass producer Dom & Roland
P452	Q6028120	Industry	Metrolink station in Industry, California, USA
P452	Q6028125	Industry	Jon McLaughlin album
P452	Q8148	industry	production of goods or service of a given field within an economy
P452	Q927094	Industry	industrial suburb of Los Angeles, USA
P452	Q979263	Industry	city in Austin County, Texas, United States

P457	Q3519366	foundational text	null

P462	Q1075	color	visual perception of light wavelengths
P462	Q16878871	color	Wikimedia category page
P462	Q2984369	Color	Japanese manga anthology
P462	Q3275710	Color	Japanese punk band
P462	Q346636	Color	Wikimedia disambiguation page
P462	Q5148542	Color	album by Girugamesh
P462	Q5148543	Color	legal term
P462	Q5148544	Color	software application
P462	Q5148546	color	notation and structuring of musical note durations
P462	Q984833	Color	studio album by Japanese group NEWS

P464	Q248557	Nor	Wikipedia disambiguation page
P464	Q3347287	Nór	null

P466	Q7075751	Occupant	null

P474	Q34768	country calling code	Wikimedia list article

P478	Q1125653	Volume	single storage area by computer operating system
P478	Q1238720	Volume	identifier for a sequence of periodicals
P478	Q15817017	Volume	journal
P478	Q19816504	Volume	Publications of newspapers, magazines, multi-volume works composed of year
P478	Q228209	Volume	Wikipedia disambiguation page
P478	Q39297	volume	quantity of three-dimensional space.
P478	Q4298914	Volume	portion of a compressed file
P478	Q4469374	volume	in thermodynamics
P478	Q7940828	Volume	magazine in the form of CD albums from the 1990s
P478	Q913748	Volume	amount of a security traded during a period of time

P479	Q864114	input device	peripheral to provide data and signals to an information processing system

P488	Q140686	chairperson	null

P495	Q3373417	Country of origin	the country of manufacture, production, or growth where an article or product comes from

P496	Q51044	ORCID	nonproprietary alphanumeric code to uniquely identify scientific and other academic authors

P50	Q1220968	Author	Wikimedia disambiguation page
P50	Q3501429	Author	Czech brand of bicycles
P50	Q396316	author	Wikipedia disambiguation page
P50	Q482980	author	creator of a written work

P503	Q15087423	ISO standard	standard that was developed by the International Organization for Standardization

P504	Q1595601	Home port	null

P505	Q1210069	general manager	oversees a firm's day-to-day business operations
P505	Q3285183	General manager	null
P505	Q5532362	General manager	null
P505	Q5532366	general manager	general manager in a basketball context (specifically NBA and WNBA)

P506	Q16866	ISO 15924	defines two sets of codes for a number of writing systems

P509	Q1051608	Cause of Death	album by Obituary
P509	Q1931388	cause of death	conditions resulting in a death
P509	Q5054604	Cause of Death	Wikipedia disambiguation page
P509	Q5054605	Cause of Death	video game
P509	Q633234	Cause of Death	novel by Patricia Cornwell

P51	Q17579863	Audio	British musician
P51	Q4650720	Audio	Wikipedia disambiguation page
P51	Q4819813	Audio	null
P51	Q4819814	Audio	null

P512	Q189533	academic degree	college or university diploma

P516	Q17116728	PowerPlant	null

P517	Q11083766	Interaction	in quantum mechanics
P517	Q1665869	interaction	null
P517	Q352720	Interaction	Wikimedia disambiguation page
P517	Q52948	interaction	kind of action that occurs as two or more objects have an effect upon one another

P529	Q12104216	Runway	film (2010)
P529	Q1276155	runway	raised walkway or stage used by models to display clothing and accessories during a fashion show
P529	Q15766860	Runway	scientific journal
P529	Q184590	runway	area of surface used by aircraft to takeoff from and land on
P529	Q7380133	Runway	film (2009)
P529	Q7380134	Runway	fictional character in the Transformers universe
P529	Q7380135	Runway	film (2004)
P529	Q7380137	Runway	television game show (1987-1993)
P529	Q7380138	Runway	Wikipedia disambiguation page

P53	Q13417114	noble family	family part of the nobility of a region or country

P533	Q11074475	target	matter radiated with elementary particles
P533	Q13357901	Target	T-ara song
P533	Q15754650	Target	scientific journal
P533	Q17156604	Target	collaborative research project in the Netherlands
P533	Q17563434	target	null
P533	Q180238	Target	television series in the United Kingdom
P533	Q18387993	Target	1958 TV series
P533	Q18611450	Target	null
P533	Q19548642	target	null
P533	Q230479	Target	Wikipedia disambiguation page
P533	Q7685843	Target	1952 film
P533	Q7685845	Target	1995 Hindi drama film
P533	Q7685846	Target	consumer advice TV show in New Zealand
P533	Q7685847	Target	children's magazine in India
P533	Q7685848	Target	rapper from Croatia
P533	Q7685849	Target	song by Embrace
P533	Q865563	Target	commune in Allier, France
P533	Q971985	Target	1985 film directed by Arthur Penn

P537	Q7858402	Twinning	Wikipedia disambiguation page
P537	Q7858403	Twinning	null

P539	Q13481868	Museofile	database of French museums

P550	Q2003221	chivalric order	societies and fellowships of knights

P551	Q17989316	Residence	null

P552	Q2421902	handedness	null
P552	Q5647350	Handedness	Wikipedia disambiguation page

P556	Q898786	crystal system	class of space groups, lattices, point groups, or crystals

P558	Q1307710	unit symbol	null

P559	Q1093762	Terminus	fictional planet at the edge of the Galaxy in Isaac Asimov's Foundation Series
P559	Q346096	Terminus	Wikipedia disambiguation page
P559	Q3518467	Terminus	1987 French-German science fiction film
P559	Q4050855	Terminus	font type
P559	Q580723	Terminus	Roman god
P559	Q7702855	Terminus	1986 video game
P559	Q7702856	Terminus	business and residential complex located in Buckhead, Atlanta, Georgia, United States
P559	Q7702857	Terminus	1961 British transport film documentary
P559	Q7702859	Terminus	monologue play
P559	Q7702860	Terminus	video game

P560	Q2151613	direction	null
P560	Q344762	Direction	Wikipedia disambiguation page
P560	Q5280424	Direction	album by The Starting Line
P560	Q5280425	Direction	null

P561	Q221403	NATO reporting name	code name for military equipment

P565	Q505892	crystal habit	mineralogical term for the visible shape of a mineral

P566	Q810198	basionym	scientific name on which another scientific name is based (ICNafp)

P569	Q11196560	Date of Birth	disambiguation page
P569	Q2389905	date of birth	date when a person was born

P57	Q1047422	Director	computer that continuously calculates trigonometric firing solutions
P57	Q1162163	director	in business, person in charge of realizing an objective
P57	Q1248362	director	director of a work, e.g. in theatre, film, radio, TV, etc.
P57	Q3708947	Director	Wikimedia disambiguation page
P57	Q3708950	Director	fourth studio album by R&B singer Avant
P57	Q5280515	Director	2009 movie
P57	Q5280517	Director	Irish rock band
P57	Q5280518	director	title in colonial administrations

P570	Q18748141	date of death	null

P571	Q16797496	Inception	null
P571	Q25188	Inception	2010 British-American science fiction heist film
P571	Q3797611	Inception	null
P571	Q3797612	Inception	null
P571	Q6014295	Inception	null

P577	Q15728967	Publication	Wikimedia disambiguation page
P577	Q15852766	publication	null
P577	Q732577	publication	output of the act of publishing, and also refers to any printed copies

P58	Q28389	screenwriter	writer who writes for TV and films

P582	Q16991768	End Time	null
P582	Q185985	end time	null
P582	Q5375808	End Time	null

P588	Q1056832	coolant	null

P589	Q899720	point group	a group of geometric symmetries (isometries) that keep at least one point fixed

P59	Q2477670	Constellation	Fabergé egg
P59	Q296322	Constellation	Wikipedia disambiguation page
P59	Q2995055	Constellation	album by Alabama Thunderpussy
P59	Q5163914	Constellation	album by Sonny Stitt
P59	Q5163915	Constellation	null
P59	Q5163916	Constellation	2007 film
P59	Q677122	Constellation	family of airliners
P59	Q8928	constellation	internationally defined area of the celestial sphere

P591	Q5322796	EC number	Wikipedia disambiguation page

P6	Q2285706	head of government	chief officer of the executive branch of a government

P606	Q5453014	First Flight	Wikipedia disambiguation page
P606	Q5453016	First Flight	null
P606	Q5453017	First Flight	artwork by Richard Taylor
P606	Q5453018	First Flight	null
P606	Q861673	First Flight	null

P607	Q1403651	Conflict	1945 film with Humphrey Bogart
P607	Q17987543	Conflict	null
P607	Q180684	conflict	friction, disagreement, or discord within a group
P607	Q18348680	Conflict	null
P607	Q3553437	Conflict	1936 film
P607	Q3686703	Conflict	TV series
P607	Q400889	Conflict	Wikipedia disambiguation page
P607	Q4231815	conflict	null
P607	Q429952	Conflict	British anarcho-punk band
P607	Q5160158	Conflict	null
P607	Q5160159	Conflict	null
P607	Q5160160	Conflict	null
P607	Q5160161	Conflict	null
P607	Q5160162	Conflict	null

P608	Q5420226	Exhibition history	null

P611	Q2061186	religious order	group of people set apart from society and other groups based on their religious devotion

P624	Q1707071	guidance system	device used to navigate a ship, aircraft, missile...

P628	Q207810	E number	null
P628	Q5324841	E number	Wikipedia disambiguation page

P631	Q15758343	Structural Engineer	journal
P631	Q2305987	structural engineer	person who analyzes, designs, plans, and researches structural components and structural systems
P631	Q7625024	Structural engineer	Wikipedia disambiguation page

P634	Q163500	captain	naval; NATO rank code of OF-5.
P634	Q18343405	Captain	null
P634	Q18809245	Captain	null
P634	Q19100	captain	commissioned officer rank of army and air forces - NATO rank code of OF-2.
P634	Q19574794	Captain	null
P634	Q1989225	captain	member of a cricket team
P634	Q2937293	captain	commissioned officer rank in the United States uniformed services
P634	Q5036504	captain	member of an Australian rules football team
P634	Q5036507	Captain	rank in the Canadian military
P634	Q5036508	Captain	rank in the Indian Navy
P634	Q5036510	Captain	rank of the British Army and Royal Marines
P634	Q5036511	captain	company-grade rank in U.S. Army, Marine Corps, and Air Force
P634	Q5036512	Captain	rank in the United States uniformed services, O-6
P634	Q5036513	Captain	album by Idlewild
P634	Q5036514	Captain	senior officer rank of the Royal Navy
P634	Q5036515	captain	member of a baseball team
P634	Q5036516	Captain	comic book character
P634	Q5036518	captain	member of an inline hockey team
P634	Q5036520	Captain	Japanese videotex system
P634	Q5036522	Captain	manga series
P634	Q584540	captain	member of a sports team
P634	Q715772	captain	team captain of an association football team
P634	Q7159907	Captain	Wikimedia disambiguation page
P634	Q921312	Captain	alternative rock band from England
P634	Q979247	captain	member of an ice hockey team

P636	Q621636	route of administration	path by which a drug, fluid, poison, or other substance is taken into the body

P641	Q11157907	Sport	Czech daily sports newspaper
P641	Q1567764	sport	part of a plant different from the rest
P641	Q17064598	Sport	null
P641	Q1761754	Sport	Russian pay TV channel
P641	Q191051	sport	water sport
P641	Q1993821	Sport	series production model of a prototype camera called Gelveta
P641	Q295996	Sport	Wikipedia disambiguation page
P641	Q349	sport	forms of competitive activity, usually physical
P641	Q3493953	Sport	English weekly sports magazine
P641	Q623538	Sport	Spanish daily sports newspaper
P641	Q7579296	Sport	former American sports magazine
P641	Q942233	Sport	Finnish ice hockey team

P642	Q349587	OF	Wikipedia disambiguation page
P642	Q988069	Of	null

P646	Q19366480	Freebase identifier	null

P650	Q17299517	RKDartists	artists database by the Rijksbureau voor Kunsthistorische Documentatie

P652	Q7865291	UNII	Wikipedia disambiguation page

P655	Q15763265	Translator	journal
P655	Q333634	translator	person who translates text from one language to another
P655	Q427653	Translator	Wikimedia disambiguation page
P655	Q4462013	translator	computer program that translates code from one programming language to another
P655	Q7834557	Translator	album by Translator
P655	Q7834560	Translator	American rock band

P656	Q7307074	RefSeq	null

P66	Q4752561	Ancestral Home	political party in Poland
P66	Q4752565	ancestral home	place of origin of one's extended family

P664	Q2921069	Organizer	Wikimedia disambiguation page

P673	Q305913	EMedicine	null

P674	Q1620031	Characters	null
P674	Q5073785	Characters	null

P678	Q19597585	Incertae sedis	null
P678	Q19597586	Incertae sedis	null
P678	Q19597587	Incertae sedis	null
P678	Q235536	incertae sedis	indicates uncertainty on taxonomic position

P680	Q14860489	molecular function	elemental activities, such as catalysis or binding, describing the actions of a gene product at the molecular level. A given gene product may exhibit one or more molecular functions

P682	Q2996394	biological process	process of a living organism usually by any number of chemical reactions or other events that results in a transformation

P690	Q899033	space group	null

P693	Q107400	cleavage	tendency of crystalline materials to split along definite crystallographic structural planes
P693	Q1099599	Cleavage	null
P693	Q1990218	Cleavage	null
P693	Q2087952	Cleavage	null
P693	Q347889	Cleavage	Wikipedia disambiguation page
P693	Q376172	Cleavage	null

P695	Q908597	UN number	United Nations code for dangerous substances

P698	Q2082879	PubMed ID	PubMed's unique identifier of a scholarly work

P7	Q10861465	brother	male sibling
P7	Q1192679	Brother	1997 Russian crime film directed by Aleksei Balabanov and starring Sergei Bodrov, Jr
P7	Q13163645	brother	Hong Kong internet slang
P7	Q16244964	Brother	Matt Corby song
P7	Q16244967	Brother	Morten Harket album
P7	Q16824629	Brother	null
P7	Q19363387	Brother	album by The Brilliance
P7	Q2006616	Brother	Boyzone album
P7	Q399428	Brother	Wikipedia disambiguation page
P7	Q4975456	Brother	null
P7	Q4975458	Brother	Little Birdy song
P7	Q4975459	Brother	Pearl Jam song
P7	Q4975460	Brother	Smashproof song
P7	Q4975462	Brother	The Scene Aesthetic album
P7	Q4975463	Brother	band
P7	Q4975465	Brother	null
P7	Q961235	Brother	film directed by Takeshi Kitano

P707	Q372881	satellite bus	general model for multiple-production satellite spacecraft

P708	Q665487	diocese	district or see under the supervision of a bishop

P720	Q1750705	asteroid spectral type	classification type of a class of objects

P725	Q2405480	voice actor	type of performer

P726	Q12713992	Candidate	song by David Bowie
P726	Q3616510	candidate	academic degree in Scandinavia and post-Soviet states
P726	Q5031738	Candidate	null
P726	Q5031739	Candidate	Wikipedia disambiguation page
P726	Q618536	candidate	prospective recipient of an award or honor, or a person seeking or being considered for some kind of position

P728	Q28360	GHS hazard statement	standardized phrases about the hazards of chemical substances and mixtures

P733	Q13217583	DINOloket	stratigraphic database of the Netherlands

P734	Q4116295	surname	name added to a given name and is part of a personal name *Please use family name (Q101352) where linking family names as an instance*

P735	Q202444	given name	name that differentiates persons from a same family

P739	Q185785	ammunition	general term for a wide range of weapon items such as bombs, missiles, mines and projectiles
P739	Q4747333	Ammunition	EP by American rapper Chamillionaire

P742	Q61002	pseudonym	name that a person or group assumes for a particular purpose, which differs from his or her original or true name (orthonym)
P742	Q7255187	Pseudonym	null

P744	Q249083	asteroid family	population of asteroids that share similar proper orbital elements

P749	Q1956113	parent company	company that owns enough voting stock in another firm to control management and operations

P750	Q1459069	distributor	device in the ignition system of an internal combustion engine
P750	Q417877	Distributor	Wikipedia disambiguation page

P773	Q877561	ISO 3166-3	part of the ISO 3166 standard: Code for formerly used names of countries

P78	Q14296	top-level domain	domain at the highest level of the DNS hierarchy

P780	Q15148222	Symptoms	null
P780	Q17040410	Symptoms	null
P780	Q3235672	Symptoms	British horror film by José Ramón Larraz

P781	Q683543	SIKART	null

P782	Q16871901	Lau	family name
P782	Q2093900	Lau	null
P782	Q414916	Lau	Wikipedia disambiguation page
P782	Q4194158	Lau	null
P782	Q6497591	Lau	null
P782	Q6497592	Lau	Scottish contemporary folk group

P792	Q1980247	chapter	section of a book
P792	Q216285	Chapter	Disambiguation page regarding cathedral and other chapters (e.g. in orders)
P792	Q237306	Chapter	Wikipedia disambiguation page

P793	Q16456421	significant event	Important event in life of a building, organisation, person etc.

P794	Q1424441	As	null
P794	Q16206720	As	null
P794	Q16206728	Aš	null
P794	Q190580	As	Wikipedia disambiguation page
P794	Q271207	Ås	Wikipedia disambiguation page
P794	Q2866220	As	null
P794	Q376895	As	null
P794	Q4654434	AS	null
P794	Q54062	Ås	municipality in Akershus, Norway
P794	Q5707685	As	Single by 12012
P794	Q583910	Aš	null
P794	Q696591	As	municipality in Limburg, Belgium
P794	Q719880	As	Spanish sports newspaper

P802	Q1074519	Student	2012 film
P802	Q416306	Student	Wikipedia disambiguation page
P802	Q48282	student	learner, or someone who attends an educational institution
P802	Q7394857	STUDENT	null
P802	Q7627614	Student	magazine

P812	Q4671286	Academic major	null

P817	Q3317792	decay mode	null

P818	Q18920853	arXiv ID	unique identifier of an arXiv preprint

P822	Q1726452	Mascot	software search engine
P822	Q18670161	mascot	term for any person, animal, or object thought to bring luck, or for fictional, representative spokespeople for consumer products [for mascot characters, use Q386208]
P822	Q406902	Mascot	Wikipedia disambiguation page
P822	Q736337	Mascot	Swedish car

P823	Q1758037	speaker	presiding officer of a deliberative assembly, especially a legislative body
P823	Q253510	Speaker	Wikipedia disambiguation page

P826	Q192822	tonality	null

P832	Q1197685	public holiday	holiday generally established by law and is usually a non-working day during the year

P833	Q1147171	interchange station	train station for more than one railway route

P84	Q16242510	Architect	album by Wallis Bird
P84	Q2860251	Architect	American band
P84	Q42973	architect	person trained to plan and design buildings, and oversee their construction
P84	Q4786981	Architect	one of the role variants of the Keirsey Temperament Sorter
P84	Q634995	Architect	Wikimedia disambiguation page

P85	Q14518191	Anthem	2013 Hanson album
P85	Q16242411	Anthem	null
P85	Q16825196	Anthem	null
P85	Q16825200	Anthem	null
P85	Q1947120	Anthem	album by Toyah
P85	Q2114602	Anthem	Japanese heavy metal band
P85	Q2743935	Anthem	novel by Ayn Rand
P85	Q2852731	Anthem	song from Chess album and musical
P85	Q298906	Anthem	Wikimedia disambiguation page
P85	Q4027202	Anthem	album by ska punk band Less Than Jake
P85	Q4771571	Anthem	song by American heavy metal band Iced Earth
P85	Q4771572	Anthem	album by American guitarist Ralph Towner
P85	Q4771573	Anthem	album by Steve Lacy
P85	Q4771574	Anthem	album by Black Uhuru
P85	Q4771575	Anthem	single released in August 1997 by The Wildhearts
P85	Q4771576	Anthem	nine-minute music video
P85	Q4771577	Anthem	insurance company
P85	Q541947	anthem	specific form of Anglican church music or song of celebration
P85	Q572302	Anthem	song by Deep Purple

P857	Q12857515	CNKI	China National Knowledge Infrastructure

P859	Q152478	sponsor	commercial supporter
P859	Q396951	Sponsor	Wikipedia disambiguation page
P859	Q4049955	Sponsor	null
P859	Q7579032	Sponsor	null
P859	Q7579033	Sponsor	null

P86	Q1121767	Composer	Wikipedia disambiguation page
P86	Q36834	composer	person who creates music, either by musical notation or oral tradition
P86	Q5156722	Composer	null

P87	Q8178443	librettist	author of the libretto (words) of an opera

P870	Q1052400	instrumentation	null
P870	Q1134732	Instrumentation	null
P870	Q1770203	Instrumentation	use of measuring instruments to monitor and control a process
P870	Q617028	instrumentation	particular combination of musical instruments employed in a composition

P878	Q221329	avionics	electronic systems used on aircraft, artificial satellites, and spacecraft

P879	Q1474286	pennant number	ship identifier in Europe

P880	Q1024240	CPU	Wikipedia disambiguation page

P886	Q1827715	Lir	null
P886	Q396693	LIR	Wikipedia disambiguation page
P886	Q6557557	Lir	null

P894	Q190269	Zentralblatt MATH	null

P898	Q225202	IPA	Wikimedia disambiguation page
P898	Q2327337	Ipa	null
P898	Q4346801	IPA	administrative agency in Japan

P9	Q13725613	Sister	single by Porno Graffitti
P9	Q17034958	Sister	null
P9	Q17149744	Sister	null
P9	Q18175509	Sister	novel by Jáchym Topol
P9	Q19038866	Sister	null
P9	Q2008716	Sister	null
P9	Q229602	Sister	Wikipedia disambiguation page
P9	Q3943989	Sister	null
P9	Q595094	sister	female sibling
P9	Q7531063	Sister	null
P9	Q7531065	Sister	null
P9	Q7531067	Sister	null
P9	Q870091	Sister	2012 Film directed by Ursula Meier
P9	Q941771	Sister	null

P902	Q423426	HDS	Wikipedia disambiguation page

P91	Q17888	sexual orientation	pattern of attraction

P912	Q13226383	facility	place for doing something
P912	Q346146	facility	Wikipedia disambiguation page

P913	Q15402419	notation	Wikimedia disambiguation page
P913	Q2001982	notation	system of symbols to represent facts or quantities

P915	Q1045481	filming location	null

P917	Q527163	GRAU index	The Soviet/Russian system of indices assigned to army munitions and equipment

P922	Q15706549	magnetic ordering	null

P929	Q166863	color space	null

P932	Q11801904	PMCID	null

P940	Q2467204	GHS precautionary statements	null

P942	Q1193470	theme music	piece that is often written specifically for a film or similar

P943	Q1374194	Programmer	null
P943	Q5482740	programmer	person who writes computer software
P943	Q845697	Programmer	Wikipedia disambiguation page

P945	Q1154730	Allegiance	novel by Timothy Zahn
P945	Q16002561	Allegiance	null
P945	Q16242079	Allegiance	As Blood Runs Black album
P945	Q1627134	Allegiance	video game
P945	Q17266730	Allegiance	null
P945	Q1752613	Allegiance	null
P945	Q18821718	Allegiance	Swedish viking metal musical group
P945	Q2362197	Allegiance	Firewind album
P945	Q2721121	Allegiance	null
P945	Q401465	Allegiance	Wikipedia disambiguation page
P945	Q4731367	Allegiance	episode of Star Trek: The Next Generation
P945	Q4731368	Allegiance	null
P945	Q4731370	Allegiance	film
P945	Q4731371	Allegiance	musical

P946	Q501259	Isin	null
P946	Q6081096	Isin	local government area in Nigeria
P946	Q6103492	Işın	Wikipedia disambiguation page

P972	Q2352616	catalog	work comprising an ordered list of items
P972	Q250233	catalog	Wikimedia disambiguation page
P972	Q5051302	Catalog	album by Tsukiko Amano

P974	Q159675	tributary	stream or river that flows into a main stem river or lake
P974	Q5403449	Tributary	Wikipedia disambiguation page
P974	Q7840503	Tributary	ballet by Robert La Fosse and Robert Garland

P98	Q1285375	editor	software for creating and editing digital data
P98	Q1607826	editor	person who edits texts or publications
P98	Q294083	Editor	Wikipedia disambiguation page

P984	Q180672	IOC country code	null

P998	Q41226	DMOZ	Open content directory of Web links established in 1998

